address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Herval;Belenzinho;21;1;0;Studio e kitnet;2400;2939;03062-000;Leste
Avenida São Miguel;Vila Marieta;15;1;1;Studio e kitnet;1030;1345;03619-100;Leste
Rua Oscar Freire;Pinheiros;18;1;0;Apartamento;4000;4661;01426-001;Central
Rua Júlio Sayago;Vila Ré;56;2;2;Casa em condomínio;1750;1954;03669-010;Leste
Rua Barata Ribeiro;Bela Vista;19;1;0;Studio e kitnet;4000;4654;01312-010;Central
Rua Domingos Paiva;Brás;50;2;1;Apartamento;3800;4587;03043-070;Leste
Rua Guararapes;Brooklin Paulista;72;2;1;Apartamento;3500;5187;04561-000;Sul
Avenida Cásper Líbero;Centro;26;1;0;Studio e kitnet;1727;2244;01031-001;Central
Rua José Peres Campelo;Piqueri;32;2;0;Apartamento;1200;1592;02913-090;Norte
Rua Guaperuvu;Vila Aricanduva;36;1;0;Apartamento;1200;1501;03504-030;Leste
Rua dos Carmelitas;Sé;63;2;0;Apartamento;1500;2020;01020-010;Central
Rua Tabatinguera;Sé;34;1;0;Apartamento;1000;1406;01018-020;Central
Rua Henrique Sertório;Tatuapé;32;1;0;Studio e kitnet;2100;2598;03066-065;Leste
Rua Herison;Lauzane Paulista;50;3;0;Casa em condomínio;1437;1517;02442-040;Norte
Rua Orestes Barbosa;Jardim Paraventi;70;2;1;Casa;1600;1768;07123-000;Grande SP
Rua Scuvero;Cambuci;75;2;0;Casa;2266;2422;01527-000;Central
Rua Doutor Tomaz de Lima;Liberdade;64;2;0;Apartamento;1530;2049;01513-010;Central
Rua Conselheiro Furtado;Liberdade;28;1;0;Studio e kitnet;2300;2750;01018-020;Central
Rua Guaraiuva;Cidade Monções;30;1;1;Casa;2394;2538;04857-701;Sul
Rua Torres da Barra;Água Branca;32;1;0;Apartamento;1764;2177;05037-055;Oeste
Rua Guarapuava;Mooca;36;1;0;Apartamento;1850;2281;03164-150;Leste
Rua dos Estudantes;Sé;30;1;0;Apartamento;1700;2066;01505-001;Central
Rua Fernando de Noronha;Chácara Inglesa;62;2;1;Apartamento;2700;3754;04141-050;Sul
Avenida Condessa Elizabeth de Robiano;Vila Moreira;40;2;1;Apartamento;1900;2233;01142-300;Central
Rua Nadir;Gopoúva;54;2;1;Apartamento;2000;2536;07020-201;Grande SP
Avenida dos Ourives;Jardim São Savério;63;3;1;Apartamento;1460;2018;04194-260;Sul
Rua Elza Guimarães;Vila Amalia (zona Norte);59;3;1;Apartamento;1500;1958;02618-010;Norte
Avenida Cásper Líbero;Centro;25;1;0;Studio e kitnet;2100;2571;01031-001;Central
Rua Dom Macário;Saúde;54;2;0;Apartamento;1100;1462;04292-040;Sul
Rua Marcelo Homem de Melo;Quarta Parada;62;2;0;Casa;2500;2594;03174-090;Leste
Largo do Arouche;Santa Efigênia;80;1;0;Apartamento;2300;2969;01210-000;Central
Rua Ricardo Avenarius;Paraíso do Morumbi;24;1;0;Apartamento;900;1245;05665-020;Oeste
Rua Nova dos Portugueses;Chora Menino;100;3;2;Casa;2450;2771;02464-000;Norte
Rua Itamonte;Vila Medeiros;48;2;1;Apartamento;1600;1955;02220-000;Norte
Avenida Antônio Buono;Vila Guarani(zona Leste);35;1;0;Studio e kitnet;1110;1153;03382-000;Leste
Avenida Rangel Pestana;Brás;32;1;0;Apartamento;1900;2249;01020-000;Central
Rua Cônego Vicente Miguel Marino;Barra Funda;33;1;0;Apartamento;2200;2624;01135-020;Central
Rua Salvador Gaeta;Vila Augusta;68;2;2;Casa;2426;2574;07023-010;Grande SP
Rua Casa do Ator;Vila Olímpia;69;2;1;Apartamento;2910;3970;04546-000;Sul
Av.nove de Julho;Bela Vista;25;1;0;Apartamento;2500;3008;01312-000;Central
Rua Joaquim Afonso de Souza;Vila Celeste;110;2;0;Casa;1300;1355;02543-000;Norte
Rua Glória do Goitá 335 Apt 112;Jardim Independência;29;1;0;Studio e kitnet;1180;1411;03222-010;Leste
Rua Martim Burchard;Brás;44;2;0;Apartamento;2250;2712;03002-000;Leste
Rua Tuiuti;Tatuapé;61;2;1;Apartamento;1900;2882;02174-000;Norte
Rua das Palmeiras;Vila Buarque;11;1;0;Studio e kitnet;1560;1904;01226-010;Central
Rua São Lourenço;Vila Vivaldi;64;2;1;Casa;2500;2715;09631-020;Grande SP
Rua João Mafra;Vila Brasílio Machado;56;2;2;Apartamento;1900;2700;04288-000;Sul
Rua Sebastião Mariano;Vila Carlos de Campos;60;2;1;Casa;1600;1668;03640-020;Leste
Avenida Vila Ema;Vila Prudente;56;2;1;Apartamento;1890;2222;03156-000;Leste
Rua Almaden;Vila Andrade;62;2;1;Apartamento;3300;4354;05717-200;Oeste
Avenida Rio Branco;Campos Elíseos;35;1;0;Apartamento;1300;1580;01206-010;Central
Rua Tanque Velho;Vila Nivi;45;1;0;Casa;500;551;02267-000;Norte
Rua Itiúba;Vila Celeste;47;2;0;Casa;1589;1799;03158-010;Leste
Rua Hanna Abduch;Vila Palmeiras;80;2;0;Casa;2150;2232;02726-020;Norte
