address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Guararapes;Brooklin Paulista;72;2;1;Apartamento;3500;5187;04561-000;Sul
Rua Guaraiuva;Cidade Monções;30;1;1;Casa;2394;2538;04857-701;Sul
Rua Fernando de Noronha;Chácara Inglesa;62;2;1;Apartamento;2700;3754;04141-050;Sul
Avenida dos Ourives;Jardim São Savério;63;3;1;Apartamento;1460;2018;04194-260;Sul
Rua Dom Macário;Saúde;54;2;0;Apartamento;1100;1462;04292-040;Sul
Rua Casa do Ator;Vila Olímpia;69;2;1;Apartamento;2910;3970;04546-000;Sul
Rua João Mafra;Vila Brasílio Machado;56;2;2;Apartamento;1900;2700;04288-000;Sul
Rua Virginópolis;Sacomã;80;2;1;Casa;2426;2529;04249-020;Sul
Rua Alencar Araripe;Sacomã;50;2;1;Apartamento;1712;2486;04253-000;Sul
Rua Marquês Maricá;Sacomã;38;1;0;Studio e kitnet;1030;1053;04252-000;Sul
Avenida dos Ourives;Jardim São Savério;41;2;0;Apartamento;1300;1750;04194-260;Sul
Rua Abrahão Calux;Vila Moinho Velho;59;2;1;Apartamento;2200;2861;04286-100;Sul
Rua Fonseca da Costa;Bosque da Saúde;209;3;2;Casa;6000;6674;04151-060;Sul
Rua Antônio Gomes Ferreira;Parque Fongaro;32;2;0;Apartamento;1100;1492;04257-100;Sul
Rua Jovina Maria de Jesus;Jardim das Acácias;209;4;2;Casa;6950;7722;04704-120;Sul
Rua Maria José Rangel;Vila São Paulo;65;2;1;Casa;2200;2293;04650-180;Sul
Rua Doutor Ferreira Lopes;Vila Sofia;70;3;2;Apartamento;2100;3315;04672-080;Sul
Rua Edmundo Luís de Nóbrega Teixeira;Campo Grande;114;4;2;Casa;3500;3998;04677-030;Sul
Avenida Yervant Kissajikian;Vila Constança;59;3;1;Apartamento;2100;2573;04657-000;Sul
Rua Coronel Deraldo Jordão;Ipiranga;120;3;3;Casa;5500;5962;04125-030;Sul
Rua Bela Cintra;Consolação;55;1;0;Apartamento;3899;4467;04421-230;Sul
Avenida Benigno Carrera;Vila Campestre;35;1;0;Casa;874;961;04332-110;Sul
Rua Antônio de Macedo Soares;Campo Belo;50;1;1;Apartamento;3350;4029;04605-000;Sul
Avenida Nossa Senhora do Sabará;Vila Sofia;69;2;1;Apartamento;2170;3053;04685-000;Sul
Rua Desembargador Aragão;Vila Mariana;40;1;1;Studio e kitnet;4900;5471;04102-010;Sul
Rua Antônio Gomes Ferreira;Sacomã;32;2;0;Apartamento;1350;1652;04257-100;Sul
Avenida Padre Arlindo Vieira;Vila Vermelha;71;3;2;Apartamento;1900;2941;04182-001;Sul
Rua João José Pacheco;Jardim Vila Mariana;22;0;0;Studio e kitnet;2200;2808;04116-120;Sul
Avenida do Cursino;Vila Gumercindo;72;3;2;Apartamento;4000;4154;04132-000;Sul
Rua Bento Vieira;Ipiranga;55;2;1;Apartamento;2350;3310;04202-030;Sul
Rua Gravi;Vila da Saúde;35;1;0;Casa;1400;1424;04138-001;Sul
Avenida João Dias;Santo Amaro;67;2;1;Apartamento;1900;2964;04724-000;Sul
Rua Catulo da Paixão Cearense;Vila da Saúde;75;3;2;Apartamento;3700;5068;04145-010;Sul
Avenida do Cursino;Vila Moraes;63;2;1;Apartamento;2400;2993;04132-000;Sul
Rua dos Democratas;Vila Monte Alegre;48;2;1;Apartamento;1900;2774;04305-000;Sul
Avenida dos Ourives;Jardim Sao Saverio;43;2;0;Apartamento;1300;1700;04194-260;Sul
Avenida Piassanguaba;Planalto Paulista;27;1;0;Casa;1200;1343;04060-000;Sul
Rua Gomes de Carvalho;Vila Olímpia;75;3;1;Apartamento;3200;4253;04547-000;Sul
Rua José Pereira Barreto;Jardim Clímax;45;1;1;Casa;1200;1251;04177-350;Sul
Avenida Leonardo da Vinci;Vila Guarani (z Sul);50;2;1;Apartamento;1450;2416;04310-001;Sul
Rua Ribeiro do Vale;Brooklin Paulista;35;1;0;Studio e kitnet;3700;4384;04561-000;Sul
Rua Palestina;Vila Mascote;130;3;1;Casa;4000;4311;04362-030;Sul
Avenida Vereador José Diniz;Santo Amaro;25;1;0;Studio e kitnet;2600;3048;04604-000;Sul
Avenida Giovanni Gronchi;Vila Andrade;98;3;2;Apartamento;2442;4507;04533-085;Sul
Rua Bela Cintra;Consolação;48;1;1;Apartamento;2600;3597;04421-230;Sul
Rua Professor Arnaldo João Semeraro;Jardim Santa Emilia;64;2;1;Apartamento;1550;2060;04183-000;Sul
Rua Gustavo da Silveira;Vila Santa Catarina;160;4;1;Casa;3000;3137;04346-000;Sul
Rua Otto de Barros;Vila Santo Estéfano;58;2;2;Apartamento;2120;3223;04152-050;Sul
Rua São Venceslau;Vila Guarani (z Sul);53;2;1;Apartamento;1900;2774;04316-070;Sul
Rua Leandro Dupré;Vila Clementino;15;1;0;Studio e kitnet;1000;1038;04025-010;Sul
Avenida Mascote;Vila Mascote;86;2;2;Apartamento;4800;5935;04372-060;Sul
Rua Bela Cintra;Consolação;51;1;1;Apartamento;4000;5189;04421-230;Sul
Rua Gomes de Carvalho;Vila Olímpia;30;1;1;Studio e kitnet;3000;3751;04547-000;Sul
Avenida Vereador José Diniz;Santo Amaro;47;1;1;Apartamento;2799;3526;04604-000;Sul
Rua Luís Correia de Melo;Vila Cruzeiro;58;2;1;Apartamento;3500;4479;04726-220;Sul
Rua Marília de Dirceu;Jardim Aeroporto;200;2;1;Casa;8000;8398;04632-030;Sul
Rua Sena Madureira;Vila Clementino;68;3;1;Apartamento;5200;6684;04035-000;Sul
Rua Antônio Gomes Ferreira;Sacoma;33;2;0;Apartamento;1700;2095;04257-100;Sul
Rua Gabriele D’annunzio;Campo Belo;35;1;1;Studio e kitnet;3800;4637;04619-000;Sul
Rua Franklin Magalhães;Vila Santa Catarina;15;1;0;Casa;750;846;04374-000;Sul
Rua Correia Dias;Paraíso;23;1;0;Studio e kitnet;4000;4061;04104-000;Sul
Rua Salto;Paraíso;33;1;1;Studio e kitnet;1850;3340;04001-130;Sul
Rua Nicolau Barreto;Vila Cordeiro;50;1;1;Apartamento;5400;6258;04583-000;Sul
Rua Fiandeiras;Vila Olímpia;42;1;1;Apartamento;2300;4056;04506-000;Sul
Rua Santa Justina;Vila Olímpia;33;1;1;Studio e kitnet;3150;4658;04545-040;Sul
Rua Kansas;Brooklin Paulista;84;2;2;Apartamento;7990;9832;04558-000;Sul
Avenida Doutor Cardoso de Melo;Vila Olímpia;43;1;1;Studio e kitnet;3500;4774;04548-000;Sul
Avenida dos Carinás;Indianópolis;26;1;0;Apartamento;3500;4235;04086-010;Sul
Alameda Iraé;Indianópolis;25;1;0;Studio e kitnet;3690;4373;04075-000;Sul
Rua Cinco de Outubro;Americanópolis;120;2;1;Casa;1846;1924;04335-050;Sul
Rua Vicente Pereira de Assunção;Vila Constança;65;3;1;Apartamento;1872;2621;04658-000;Sul
Rua Stela Marina;Brooklin;26;1;0;Studio e kitnet;4500;5074;04601-090;Sul
Indianópolis, São Paulo - Sp, 04524-020, Brasil;Indianópolis;24;1;1;Apartamento;3200;4317;04524-020;Sul
Rua Galeno de Castro;Jurubatuba;34;1;0;Apartamento;1800;2144;04696-040;Sul
Rua Galeno de Castro;Jurubatuba;35;2;0;Apartamento;2200;2520;04696-040;Sul
Avenida Roque Petroni Júnior;Jardim das Acácias;22;1;0;Studio e kitnet;3800;4521;04794-000;Sul
Rua Fernandes Moreira;Chácara Santo Antônio (zona Sul);62;2;1;Apartamento;9500;10680;04716-000;Sul
Rua Aquiles Jovane;Jardim Celeste;48;2;1;Apartamento;1400;2017;04195-150;Sul
Rua Massaranduba;Vila Monte Alegre;38;1;1;Apartamento;2000;2685;04304-120;Sul
Rua Helena;Vila Olímpia;126;3;3;Apartamento;15000;17410;04552-050;Sul
Rua João de Godói Moreira;Socorro;56;1;0;Casa;1650;1720;04763-200;Sul
Rua Pascal;Campo Belo;35;1;1;Studio e kitnet;3500;4440;04601-000;Sul
Alameda Iraé;Indianópolis;24;1;0;Studio e kitnet;3300;4017;04075-000;Sul
Rua Coronel Luís Barroso;Santo Amaro;33;1;1;Studio e kitnet;2800;3396;04750-030;Sul
Avenida Doutor Hugo Beolchi;Vila Guarani (z Sul);26;1;0;Apartamento;2700;3093;04310-030;Sul
Rua Gabriele D'annunzio;Campo Belo;37;1;1;Studio e kitnet;3500;4276;04619-000;Sul
Rua Quararibéia;Vila Isa;61;2;1;Apartamento;3000;3696;04685-004;Sul
Rua Jurupari;Jardim Oriental;35;1;0;Casa;980;1097;04348-070;Sul
Rua Indiana;Brooklin Paulista;50;1;1;Apartamento;2600;3370;04562-000;Sul
Avenida Jabaquara;Mirandópolis;26;1;0;Studio e kitnet;2188;2786;04046-000;Sul
Rua Coronel Deraldo Jordão;Vila Firmiano Pinto;90;2;2;Apartamento;5200;6574;04125-030;Sul
Rua Gaspar Lourenço;Vila Mariana;50;2;0;Apartamento;3600;4289;04107-001;Sul
Rua Farjalla Koraicho;Jabaquara;91;2;1;Casa;2700;2814;04321-130;Sul
Avenida Jabaquara;Mirandópolis;27;1;0;Studio e kitnet;2800;3363;04046-000;Sul
Avenida João Barreto de Menezes;Vila Santa Catarina;80;2;5;Casa;2200;2305;04370-006;Sul
Rua Professor Aprígio Gonzaga;São Judas;65;2;1;Apartamento;3500;4529;04303-000;Sul
Rua Humberto I;Vila Mariana;21;1;0;Studio e kitnet;3400;4053;04011-060;Sul
Avenida Cupecê;Jardim Prudência;28;1;0;Apartamento;1900;2254;04366-000;Sul
Rua Álvaro Nunes;Vila Congonhas;61;2;2;Apartamento;3500;4947;04612-070;Sul
Rua Vigário Taques Bitencourt;Santo Amaro;350;3;4;Casa;3200;3378;04755-060;Sul
Rua Coronel Fawcett;Vila Moraes;120;2;1;Casa;1400;1519;04167-030;Sul
Rua Angaturama;Vila Moraes;35;1;0;Casa em condomínio;1250;1347;04164-010;Sul
Rua Antônio Gomes Ferreira;Parque Fongaro;34;2;0;Studio e kitnet;1100;1360;04257-100;Sul
Rua Tristão de Oliveira;Vila Gumercindo;60;2;0;Casa;1555;1726;04131-070;Sul
Rua Isaura Abad Giacomelli;Jardim Aurelia;32;1;0;Studio e kitnet;1700;2067;04118-050;Sul
Rua Olívia Guedes Penteado;Socorro;35;2;0;Apartamento;1500;2015;04764-001;Sul
Travessa Carlos Ramirez;Vila Água Funda;54;1;1;Casa;1500;1563;04155-110;Sul
Rua Francisco Felippe Agosti;Vila Inglesa;55;2;1;Apartamento;1417;2154;04653-210;Sul
Rua Tetsuaki Misawa;Vila Clementino;110;3;2;Casa;5250;5813;04041-030;Sul
Rua Oliveira Alves;Ipiranga;58;2;1;Apartamento;4000;4982;04210-060;Sul
Rua Marquês de Lages;Vila Moraes;63;3;1;Apartamento;1200;1867;04154-000;Sul
Rua Bicudo de Brito;Vila Guarani;45;2;0;Apartamento;1535;1794;04316-060;Sul
Avenida Alberto Fontana;Jardim Celeste;56;2;1;Apartamento;1600;2152;04195-050;Sul
Rua Assungui;Vila Gumercindo;120;3;3;Apartamento;5900;7581;04131-000;Sul
Rua Dom Bernardo Nogueira;Vila Gumercindo;53;2;1;Apartamento;3200;4080;04134-000;Sul
Rua Albino Boldasso Gabril;Vila Cruzeiro;44;0;0;Studio e kitnet;1400;1598;04727-030;Sul
Avenida Itaboraí;Bosque da Saúde;55;2;1;Apartamento;2300;3396;04135-000;Sul
Rua Professor Arnaldo João Semeraro;Jardim Santa Emília;61;2;1;Apartamento;1300;1919;04183-000;Sul
Rua Dionísio da Costa;Vila Mariana;33;1;1;Studio e kitnet;3000;4040;04117-110;Sul
Praça Dom Francisco de Souza;Santo Amaro;53;2;1;Apartamento;3200;3963;04745-000;Sul
Rua Benedito Fernandes;Santo Amaro;52;2;1;Apartamento;1700;2432;04746-110;Sul
Rua Pereira Barreto;Santo Amaro;66;2;2;Apartamento;4500;5289;04744-010;Sul
Avenida Washington Luís;Jardim Aeroporto;55;1;0;Apartamento;1500;2064;04626-911;Sul
Rua Descampado;Vila Vera;74;3;2;Apartamento;4000;4913;04296-090;Sul
Rua Getúlio Vargas Filho;Cidade Vargas;45;2;0;Apartamento;2151;2544;04318-030;Sul
Rua Ulisses Paschoal;Jardim Lourdes (zona Sul);15;1;0;Studio e kitnet;882;1009;04328-040;Sul
Rua Borges Lagoa;Vila Clementino;45;1;1;Apartamento;4100;5317;04038-000;Sul
Rua Corinto de Toledo;Parque Jabaquara;135;3;4;Casa;6500;7051;04359-080;Sul
Avenida Moema;Moema;45;1;1;Apartamento;3700;5155;04077-020;Sul
Rua Bicudo de Brito;Vila Guarani (z Sul);45;2;0;Apartamento;1538;1797;04316-060;Sul
Rua do Boqueirão;Saúde;62;2;1;Apartamento;3500;4079;04293-970;Sul
Avenida João Dias;Santo Amaro;75;2;0;Apartamento;3000;3486;04724-000;Sul
Rua Estado de Israel;Vila Clementino;48;1;1;Apartamento;2100;3289;04022-000;Sul
Rua Açatunga;Vila Congonhas;166;2;1;Casa;4500;4575;04612-050;Sul
Rua Cipriano Barata;Ipiranga;53;2;1;Apartamento;2700;3563;04205-000;Sul
Avenida Cotovia;Indianópolis;31;1;1;Studio e kitnet;3500;4138;04556-100;Sul
Rua José Fernandes Caldas;Vila Santa Teresa (zona Sul);63;2;1;Apartamento;1900;2415;04190-040;Sul
Avenida Damasceno Vieira;Jardim Jabaquara;70;2;1;Apartamento;2200;3249;04363-040;Sul
Rua Doutor Nicolau de Sousa Queirós;Vila Mariana;50;2;0;Apartamento;2200;2964;04105-001;Sul
Avenida Cupecê;Jardim Prudência;65;2;1;Apartamento;2100;3027;04366-000;Sul
Rua Baluarte;Vila Olímpia;72;1;1;Apartamento;6000;7398;04549-010;Sul
Rua Francisco Tapajós;Vila Santo Estefano;56;2;1;Apartamento;2000;2988;04123-000;Sul
Rua Quintana;Cidade Monções;58;1;1;Apartamento;2800;5402;04857-701;Sul
Rua Princesa Isabel;Brooklin Paulista;38;1;0;Apartamento;2160;3151;04601-000;Sul
Avenida Aratãs;Indianópolis;48;1;1;Apartamento;2300;2830;04029-200;Sul
Rua Estero Belaco;Vila da Saúde;58;2;1;Apartamento;1950;2985;04145-020;Sul
Rua Doutor Eduardo de Souza Aranha;Vila Nova Conceição;80;2;1;Apartamento;4000;5159;04543-120;Sul
Rua Correia Dias;Paraíso;22;1;0;Apartamento;3400;3916;04104-000;Sul
Avenida Carinas;Indianópolis;52;2;1;Apartamento;4700;6006;04086-010;Sul
Rua Sansão Alves dos Santos;Cidade Monções;44;2;1;Apartamento;3000;4385;04571-090;Sul
Rua Valê de Amoreira;Jardim Miriam;15;1;0;Studio e kitnet;750;829;04417-160;Sul
Rua Borges Lagoa;Vila Clementino;23;1;0;Studio e kitnet;1020;1713;04038-000;Sul
Rua Correia Dias;Paraíso;25;1;0;Studio e kitnet;4000;4061;04104-000;Sul
Rua Topázio, 701 - Vila Mariana, São Paulo - Sp, Brasil;Vila Mariana;33;1;1;Studio e kitnet;3000;3868;04105-062;Sul
Rua Joaquim Guarani;Jardim das Acacias;20;1;0;Apartamento;2750;3313;04707-060;Sul
Rua Bueno Brandão;Moema;25;1;0;Studio e kitnet;3850;4967;04509-020;Sul
Avenida do Rio Bonito;Socorro;53;3;1;Casa;2400;3586;04768-000;Sul
Rua Abraão Miguel do Carmo;Vila Monte Alegre;97;3;2;Apartamento;2961;4297;04306-090;Sul
Rua Ernesto de Oliveira;Jardim Vila Mariana;77;3;2;Apartamento;3300;5342;04116-170;Sul
Rua Gaspar Lourenço;Vila Mariana;32;1;0;Apartamento;2750;3226;04107-001;Sul
Rua Osório Duque Estrada;Paraíso;44;1;1;Studio e kitnet;6500;7608;04001-120;Sul
Rua Fernandes Moreira;Chácara Santo Antônio (zona Sul);95;3;2;Apartamento;7100;8563;04716-000;Sul
Rua Luís Correia de Melo;Santo Amaro;70;2;1;Apartamento;9000;10240;04726-220;Sul
Rua Quatiguá;Vila Ivone;33;1;0;Apartamento;1100;1387;04140-020;Sul
Rua Gama Lobo;Vila Dom Pedro I;38;1;1;Apartamento;3200;4275;04269-001;Sul
Rua Apotribu;Parque Imperial;60;1;2;Studio e kitnet;3700;4917;04045-003;Sul
Rua Henri Dunant;Santo Amaro;93;2;2;Apartamento;8000;10550;04709-110;Sul
Rua Leandro Dupré;Vila Clementino;55;1;1;Apartamento;2200;3108;04025-010;Sul
Rua Vinte E Oito de Setembro;Vila Dom Pedro I;54;2;1;Apartamento;2575;3374;04267-000;Sul
Rua Jaceru;Vila Gertrudes;53;1;1;Apartamento;4443;5404;04705-000;Sul
Rua Luiz Seráphico Júnior;Jardim Caravelas;27;1;0;Apartamento;2300;2689;04729-080;Sul
Rua Nossa Senhora da Saúde;Jardim Previdência;40;1;0;Casa;1150;1264;04159-090;Sul
Avenida Mário Lopes Leão;Santo Amaro;32;1;0;Studio e kitnet;1350;1592;04754-010;Sul
Rua Nilo Torres;Jardim Umuarama;180;3;1;Casa;3200;3365;04650-040;Sul
Rua das Sempre-vivas;Jardim das Acácias;22;1;0;Studio e kitnet;2800;3418;04704-030;Sul
Rua Casa do Ator;Vila Olímpia;55;2;1;Apartamento;4500;5524;04546-000;Sul
Rua Luiz Seráphico Júnior;Jardim Caravelas;29;1;0;Apartamento;2000;2457;04729-080;Sul
Rua Padre Machado;Bosque da Saúde;60;2;1;Apartamento;2300;3508;04035-001;Sul
Rua Rodrigo Vieira;Jardim Vila Mariana;15;1;0;Studio e kitnet;1150;1232;04115-060;Sul
Avenida Dória;Vila Alexandria;53;2;1;Apartamento;2900;4032;04635-070;Sul
Rua Luís Godoy Carvalho;São João Climaco;27;1;0;Apartamento;1050;1121;04244-040;Sul
Rua Elvira Ferraz;Vila Olímpia;65;1;2;Apartamento;6900;10150;04552-040;Sul
Rua Pequetita;Itaim Bibi;38;1;2;Apartamento;3200;4279;04552-060;Sul
Rua Michigan;Cidade Monções;35;1;1;Apartamento;4300;4915;04566-000;Sul
